iter	MultiClass
0	1.593101921
1	1.398550129
2	1.242544846
3	1.132938034
4	1.045125525
5	0.9638918565
6	0.8982600742
7	0.8400079278
8	0.7949101622
9	0.7493889566
10	0.710794696
11	0.6771324646
12	0.6476546556
13	0.621066332
14	0.5980401926
15	0.5764532303
16	0.5569106663
17	0.5398373668
18	0.5231529187
19	0.5092283178
20	0.4960358147
21	0.4831609071
22	0.4727239187
23	0.4621685694
24	0.4526206057
25	0.4440480592
26	0.4358194236
27	0.4279596581
28	0.4212431858
29	0.4151300446
30	0.4090540379
31	0.4038864206
32	0.3986212855
33	0.3936211218
34	0.3890030633
35	0.3849784219
36	0.3806684958
37	0.3773027015
38	0.3739690793
39	0.3713501961
40	0.3683541244
41	0.3662013702
42	0.3634797767
43	0.3610479591
44	0.3587370741
45	0.3560195012
46	0.3538402354
47	0.3515296267
48	0.3497764192
49	0.3476755941
50	0.3460934559
51	0.3440099467
52	0.3420576584
53	0.3402081309
54	0.3385917513
55	0.3368073893
56	0.3353500986
57	0.3333425449
58	0.3319223526
59	0.3304850508
60	0.329333366
61	0.327547744
62	0.3263043368
63	0.3247974291
64	0.3233835978
65	0.322229424
66	0.3211544845
67	0.3198726826
68	0.3186099699
69	0.3169876421
70	0.3160543257
71	0.31469728
72	0.3137157568
73	0.3128056445
74	0.3121383351
75	0.3108528957
76	0.3097426086
77	0.3086665893
78	0.3078206596
79	0.3069796477
80	0.3058645059
81	0.3050675695
82	0.3040936277
83	0.3033552894
84	0.3026688179
85	0.3017349582
86	0.3009686951
87	0.2999512746
88	0.2990531321
89	0.2982365507
90	0.2974320192
91	0.2966450854
92	0.2958359857
93	0.2953343026
94	0.2946257487
95	0.293953427
96	0.2931532817
97	0.2924687414
98	0.2919491692
99	0.2913360122
100	0.2910240444
101	0.2904535312
102	0.289783565
103	0.2890252532
104	0.2884275967
105	0.2878625114
106	0.2872048505
107	0.286847058
108	0.2863323711
109	0.2857227988
110	0.2849977867
111	0.2845762972
112	0.2839151122
113	0.283313207
114	0.2828010025
115	0.2822157142
116	0.281766337
117	0.2813060499
118	0.280707218
119	0.2802792367
120	0.2799574686
121	0.2791806344
122	0.2784697345
123	0.2778736866
124	0.2775904847
125	0.2770716973
126	0.2765762513
127	0.2760882265
128	0.2756728052
129	0.275243172
130	0.2748509945
131	0.2744950035
132	0.2739779849
133	0.2735728015
134	0.2731532308
135	0.2727746303
136	0.2722366606
137	0.2718322973
138	0.2716804942
139	0.2712195883
140	0.2708594851
141	0.2705070618
142	0.2700914642
143	0.2697158223
144	0.2692260264
145	0.2687225711
146	0.268458729
147	0.2681469771
148	0.2673863746
149	0.2669638353
150	0.2664828915
151	0.2660889545
152	0.2656879027
153	0.2654552019
154	0.2649915243
155	0.2644834805
156	0.2642480248
157	0.2638741349
158	0.2635662844
159	0.2631939038
160	0.2628387035
161	0.2624328386
162	0.2620347098
163	0.2616715787
164	0.2611988084
165	0.2609665783
166	0.260457582
