iter	Passed	Remaining
0	20	20014
1	37	18853
2	56	18825
3	73	18354
4	93	18597
5	113	18866
6	140	19946
7	169	21017
8	194	21413
9	215	21367
10	235	21206
11	254	20990
12	272	20710
13	289	20385
14	304	20021
15	319	19659
16	335	19391
17	350	19127
18	365	18874
19	380	18638
20	395	18454
21	410	18238
22	424	18052
23	438	17815
24	451	17613
25	465	17420
26	478	17239
27	491	17052
28	503	16873
29	517	16728
30	530	16575
31	542	16424
32	556	16302
33	569	16167
34	581	16042
35	596	15983
36	610	15890
37	625	15840
38	641	15811
39	658	15802
40	673	15762
41	689	15718
42	703	15655
43	716	15574
44	730	15497
45	743	15409
46	756	15329
47	768	15251
48	781	15166
49	793	15084
50	806	15014
51	819	14941
52	832	14868
53	845	14808
54	858	14748
55	871	14689
56	884	14629
57	896	14559
58	908	14491
59	920	14428
60	932	14361
61	945	14303
62	959	14268
63	972	14218
64	985	14173
65	997	14115
66	1010	14070
67	1024	14040
68	1037	13992
69	1053	14001
70	1067	13971
71	1081	13940
72	1097	13931
73	1110	13894
74	1123	13859
75	1139	13850
76	1154	13842
77	1173	13870
78	1194	13926
79	1214	13968
80	1236	14023
81	1263	14147
82	1318	14563
83	1342	14641
84	1372	14778
85	1401	14897
86	1425	14958
87	1443	14960
88	1458	14930
89	1473	14902
90	1490	14891
91	1505	14862
92	1518	14806
93	1532	14772
94	1547	14744
95	1562	14710
96	1576	14674
97	1592	14655
98	1609	14651
99	1626	14641
100	1645	14648
101	1659	14608
102	1674	14580
103	1689	14555
104	1703	14521
105	1718	14494
106	1733	14470
107	1747	14433
108	1763	14414
109	1781	14411
110	1798	14405
111	1815	14395
112	1832	14381
113	1849	14372
114	1865	14355
115	1880	14331
116	1896	14311
117	1913	14304
118	1928	14274
119	1942	14245
120	1956	14212
121	1971	14190
122	1987	14167
123	2001	14139
124	2015	14111
125	2030	14082
126	2043	14048
127	2057	14014
128	2071	13989
129	2086	13962
130	2100	13933
131	2114	13907
132	2129	13879
133	2142	13848
134	2160	13845
135	2175	13823
136	2192	13813
137	2206	13782
138	2220	13757
139	2235	13734
140	2251	13716
141	2266	13695
142	2279	13661
143	2292	13628
144	2306	13599
145	2320	13573
146	2334	13547
147	2349	13524
148	2365	13509
149	2384	13511
150	2403	13515
151	2424	13528
152	2450	13566
153	2478	13613
154	2504	13654
155	2530	13688
156	2549	13691
157	2568	13689
158	2586	13678
159	2601	13659
160	2617	13639
161	2632	13618
162	2646	13591
163	2661	13565
164	2675	13537
165	2688	13509
166	2701	13476
167	2716	13452
168	2729	13423
169	2743	13392
170	2756	13361
171	2769	13331
172	2781	13297
173	2794	13265
174	2807	13233
175	2820	13202
176	2834	13178
177	2847	13147
178	2859	13117
179	2873	13088
180	2885	13056
181	2898	13025
182	2910	12995
183	2923	12965
184	2935	12931
185	2947	12901
186	2959	12868
187	2972	12837
188	2984	12806
189	2997	12778
190	3010	12749
191	3023	12723
192	3037	12699
193	3050	12674
194	3063	12647
195	3076	12619
196	3089	12591
197	3102	12565
198	3115	12538
199	3130	12522
200	3143	12496
201	3156	12471
202	3171	12452
203	3186	12433
204	3200	12409
205	3213	12387
206	3227	12366
207	3243	12349
208	3257	12328
209	3272	12309
210	3286	12287
211	3299	12265
212	3314	12247
213	3328	12224
214	3340	12197
215	3354	12174
216	3367	12151
217	3380	12127
218	3393	12100
219	3406	12078
220	3419	12052
221	3432	12029
222	3445	12003
223	3458	11981
224	3471	11958
225	3484	11934
